Related API,Description,Method,Type
chrome.accessbilityfeatures,Manage chrome accessibility features,,User activity
,,get(),
chrome.commands,add keyboard shortcuts that trigger actions in your extension,,User activity
,,getAll(),
chrome.contentSettings,"change settings that control whether websites can use features such as cookies, JavaScript, and plugins",,User activity
,,get(),
,,getResourceIdentifiers(),
chrome.cookies,"query and modify cookies, and to be notified when they change",,User activity
,,get(),
,,getAll(),
,,getAllCookieStores(),
chrome.desktopCapture,"capture content of screen, individual windows or tabs",,User activity
,,chooseDesktopMedia(),
chrome.devtools.inspectedWindow,"interact with the inspected window: obtain the tab ID for the inspected page, evaluate the code in the context of the inspected window, reload the page, or obtain the list of resources within the page",,Website content
,,getResources(),
chrome.devtools.network,retrieve the information about network requests displayed by the Developer Tools in the Network panel,,User activity
,,getHAR(),
chrome.devtools.panels,"integrate your extension into Developer Tools window UI: create your own panels, access existing panels, and add sidebars",,Website content
,,setOpenResourceHandler(),
chrome.enterprise.deviceAttributes,read device attributes,,Device information
,,getDeviceAnnotatedLocation(),
,,getDeviceAssetId(),
,,getDeviceHostname(),
,,getDeviceSerialNumber(),
,,getDirectoryDeviceId(),
chrome.enterprise.hardwarePlatform,get the manufacturer and model of the hardware platform where the browser runs,,Device information
,,getHardwarePlatformInfo(),
chrome.enterprise.networkingAttributes,read information about your current network,,Device information
,,getNetworkDetails(),
chrome.fileBrowserHandler,"extend the Chrome OS file browser, user can upload files",,User file system
,,selectFile(),
chrome.history,interact with the browser's record of visited pages,,Web histoy
,,getVisits(),
,,search(),
chrome.identity,get OAuth2 access tokens,,Authentication information
,,getAccounts(),
,,getAuthToken(),
,,getProfileUserInfo(),
,,getRedirectURL(),
chrome.instanceID,access the Instance ID service,,Device information
,,getCreationTime(),
,,getID(),
,,getToken(),
chrome.pageCapture,save a tab as MHTML.,,Website content
,,saveAsMHTML(),
chrome.permissions,request declared optional permissions at run time rather than install time,,Privacy-related setting
,,contains(),
,,getAll(),
,,request(),
chrome.platformKeys,"access client certificates managed by the platform. If the user or policy grants the permission, an extension can use such a certficate in its custom authentication protocol.",,Authentication information
,,getKeyPair(),
,,getKeyPairBySpki(),
,,selectClientCertificates(),
chrome.power,override the system's power management features,,Device information
,,requestKeepAwake(),
chrome.privacy,control usage of the features in Chrome that can affect a user's privacy,,Privacy-related setting
,,get(),
chrome.proxy,getting and setting the proxy configuration,,Privacy-related setting
,,settings.get(),
