ext,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
iagfnlhfnokbnckibgheeonjjljodblo,Accessibility,1,0,0,1,0,0,0,0,1,1,0,0,11
jnejknhjoidecbabikcjapfdojhgmnkd,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,8
ehmihgkikdkmdkamfhpgjnikbjihemid,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,9
hgniihpjiioldkafogebpkbaiflmpimb,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,3
fjnfifedbeeeibikgpggddmfbaeccaoh,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,6
knaddinhblejecfcgajdpbebicfpejem,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,8
kmickmhkjdjhhehdfehhbhfalalajjng,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,8
cbjgjgbnklbncggeioecjhbichhmocgl,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,3
dnmianoikbbgkldhbdmcgiefcnllobik,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,12
phedidfeicjpoomnhnfocgmbhliemjgn,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,10
lbfmjfpjklfpajppediikmapjhiodjji,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,8
ncdfcjgiincicfifodndidbdembfhpag,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,12
fmpjlpjgdmdnbkhpnpigieaibbalicfj,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,8
keeidpfpcajkpepkaombaecficdgmafd,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,12
mkekfipgdibancejakgelgjolgpfiloh,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,12
jnlogcipfhfbmglfbdlpfolaepoibhbe,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
ijknljdfdogfmhlbcfiohoaihoeegecc,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,7
aplbpelpilmcakgacmbcekngnamejjdg,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,9
llbigclocjogefafobdgkcdpioikhbfa,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
oiaokhalddljknajgbakpkikohhpfnle,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
kfccgbdpeficpdmkknifjabahopjjmjj,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,9
bginjdeiafpfjmmbnejeamihkemdldcn,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,13
nhonpcddjmjplmbbgkomiofpiehmkikh,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,5
ljfabpoffmgadjjfokkemmnamloihbco,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,13
knkbmdbmplifdahboobpejifkgpgdich,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,9
ffloofbaleegoikgiicbdchcnkdamkbn,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,3
mjlgdiclanhcloangjbhpmoagbhmjlgc,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,5
aminggkinkchpnlajkdeachplfgenfnb,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,8
nedmebappfidkelfchchmppemdhbblph,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,3
einenigpmpgopefpkfbmnlcjmoamijap,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,9
gmahckdeffbfjdbmpjhaijbpiclgjpci,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,13
fhailkcelmfnlidlgejaggffjepcemok,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,10
chhbokljdfgmepljjllnokgmcjpplell,Accessibility,0,0,0,1,0,0,0,0,1,1,0,0,8
bjejneicjolfdccjnbclegjomjlhegbi,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,4
hbglapgegjickodindimfgfmjmhhdlii,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,1
cekmffgohjjjmiodmaggjnlfmcaamdea,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,2
kgoaldgnannoebilojgnheicbkfbebjg,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
dnjondkgnpfdhpmlecgnodiiedjemada,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,7
bidggighgeapfnoagdpjjniolldibdfa,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,9
dlonjjgpeedbkjdipiiboelenjdjjbak,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,9
kceciaijnoaceceljkggfocngjleimem,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,7
ogjdcbnhgjgabidifpnpiidgbkhlpnof,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,10
bhoocemedffiopognacolpjbnpncdegk,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,5
efmbllenocpgfaedkjnlnbacalkajolk,Accessibility,1,0,0,1,0,0,0,1,1,1,0,0,8
elmmkiodkkgebgncmfbfdcffledgfanc,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,9
idphhflanmeibmjgaciaadkmjebljhcc,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
kpccobiljcljgnldjleifiblpdicjmmd,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,11
kfgepjmmgamniaefbjlbacahkjjnjoaa,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,5
fkjngjgmgbfelejhbjblhjkehchifpcj,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,11
