ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
nendakennfmpoplpmpgnmcbpfabkibki,1,0,0,0,0,0,0,1,1,0,0,0
fcmlfpdjcmgjednecdogonbnpiloobkk,1,0,0,1,0,0,1,1,1,0,1,0
fngmhnnpilhplaeedifhccceomclgfbg,0,0,0,0,0,0,1,1,1,0,1,0
lgknekjbaalocflnicbbncodboegpdhc,1,0,0,1,0,0,0,1,1,0,1,0
mhfnbdpkbjjidncjoapecfbedblplacn,1,0,0,1,0,0,1,1,1,0,1,0
gpkdlgnngkiiphplplodblijekhnjjob,1,0,0,1,0,0,1,1,1,0,1,0
neneipdmalejnpalhnmmkcbipgojmoop,1,0,1,1,0,1,1,1,1,0,0,0
giaoehhefkmchjbbdnahgeppblbdejmj,1,0,0,1,0,0,1,1,1,1,1,0
boobfniiepghnbeplehgjjmjnfehmnba,1,0,0,1,0,0,0,1,1,0,1,0
olfiakiemgabphalhjfjbcmganhfkbcg,1,0,0,1,0,0,1,1,1,0,1,0
kjkidapfdhbcllgoaoobklapepffmcca,1,0,0,1,0,0,1,1,1,0,1,0
igcolgcncjbfdpoeoinhfakoefmfljbd,0,0,0,0,0,0,1,1,1,1,0,1
naffoicfphgmlgikpcmghdooejkboifd,1,0,0,1,0,0,1,1,1,0,1,0
lkdbkiggalhffmapafobkmjadhhlopig,1,0,0,1,0,0,1,1,1,1,1,0
enhjjhkhjenjnanplmdkahkbkoeeljjp,1,0,0,1,0,0,0,1,1,0,1,0
gnanlfpgbbiojiiljkemdcampafecbmk,1,0,0,1,1,0,1,1,1,1,0,0
lmbjphlignlahnmfdginogdhpfelionc,1,0,0,1,0,0,0,1,1,0,1,0
ahmapmilbkfamljbpgphfndeemhnajme,0,0,0,1,0,0,1,1,1,0,1,0
ehhgakejngggahdpeeoldcjgnpemiajj,0,0,0,1,0,0,1,1,1,0,0,0
aefkmifgmaafnojlojpnekbpbmjiiogg,1,0,0,1,0,0,1,1,1,1,1,0
