id,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
iagfnlhfnokbnckibgheeonjjljodblo,Accessibility,6,0,0,8,0,0,0,2,10,8,0,0,11
jnejknhjoidecbabikcjapfdojhgmnkd,Accessibility,1,0,0,1,0,0,0,4,3,3,0,0,8
ehmihgkikdkmdkamfhpgjnikbjihemid,Accessibility,1,0,0,2,0,0,0,2,4,7,0,0,9
hgniihpjiioldkafogebpkbaiflmpimb,Accessibility,0,0,0,0,0,0,0,1,1,2,0,0,3
fjnfifedbeeeibikgpggddmfbaeccaoh,Accessibility,0,0,0,0,0,0,0,1,1,3,0,0,6
knaddinhblejecfcgajdpbebicfpejem,Accessibility,1,1,0,2,1,0,0,4,5,4,1,0,8
kmickmhkjdjhhehdfehhbhfalalajjng,Accessibility,1,0,0,1,0,0,0,2,7,5,0,0,8
cbjgjgbnklbncggeioecjhbichhmocgl,Accessibility,0,0,0,0,0,0,0,1,3,1,0,0,3
dnmianoikbbgkldhbdmcgiefcnllobik,Accessibility,1,0,0,0,1,0,0,2,3,3,1,0,12
phedidfeicjpoomnhnfocgmbhliemjgn,Accessibility,0,0,0,0,0,0,0,7,3,5,0,0,10
lbfmjfpjklfpajppediikmapjhiodjji,Accessibility,1,0,0,1,0,0,0,5,5,3,0,0,8
ncdfcjgiincicfifodndidbdembfhpag,Accessibility,0,0,0,0,0,0,0,4,5,6,0,0,12
fmpjlpjgdmdnbkhpnpigieaibbalicfj,Accessibility,1,0,0,1,1,0,0,3,3,3,0,0,8
keeidpfpcajkpepkaombaecficdgmafd,Accessibility,4,0,0,3,0,0,4,12,8,8,0,0,12
mkekfipgdibancejakgelgjolgpfiloh,Accessibility,4,0,0,5,0,0,0,8,8,10,0,0,12
jnlogcipfhfbmglfbdlpfolaepoibhbe,Accessibility,1,0,0,1,1,0,0,6,5,4,1,0,7
ijknljdfdogfmhlbcfiohoaihoeegecc,Accessibility,1,0,0,1,1,0,0,4,2,5,2,0,7
aplbpelpilmcakgacmbcekngnamejjdg,Accessibility,0,0,0,0,0,0,0,6,5,7,0,0,9
llbigclocjogefafobdgkcdpioikhbfa,Accessibility,2,0,0,2,0,0,0,4,4,5,0,0,7
oiaokhalddljknajgbakpkikohhpfnle,Accessibility,1,0,0,1,0,0,1,4,4,4,0,0,7
kfccgbdpeficpdmkknifjabahopjjmjj,Accessibility,1,0,0,3,1,0,0,5,1,6,0,0,9
bginjdeiafpfjmmbnejeamihkemdldcn,Accessibility,3,0,0,3,0,0,0,6,5,6,1,0,13
nhonpcddjmjplmbbgkomiofpiehmkikh,Accessibility,0,0,0,0,0,0,0,3,4,3,0,0,5
ljfabpoffmgadjjfokkemmnamloihbco,Accessibility,0,0,0,0,0,0,0,8,8,5,0,0,13
knkbmdbmplifdahboobpejifkgpgdich,Accessibility,0,0,0,0,0,0,0,4,5,5,0,0,9
ffloofbaleegoikgiicbdchcnkdamkbn,Accessibility,1,0,0,1,1,0,0,2,2,2,0,0,3
mjlgdiclanhcloangjbhpmoagbhmjlgc,Accessibility,1,0,0,1,1,0,0,3,2,3,0,0,5
aminggkinkchpnlajkdeachplfgenfnb,Accessibility,1,0,0,1,1,0,0,2,7,6,0,0,8
nedmebappfidkelfchchmppemdhbblph,Accessibility,0,0,0,0,0,0,0,1,1,2,0,0,3
einenigpmpgopefpkfbmnlcjmoamijap,Accessibility,1,0,0,2,0,0,1,6,5,4,0,0,9
gmahckdeffbfjdbmpjhaijbpiclgjpci,Accessibility,2,0,0,3,1,0,0,10,12,6,1,0,13
fhailkcelmfnlidlgejaggffjepcemok,Accessibility,0,0,0,0,0,0,0,5,3,2,0,0,10
chhbokljdfgmepljjllnokgmcjpplell,Accessibility,1,0,0,5,0,0,0,0,7,5,1,0,8
bjejneicjolfdccjnbclegjomjlhegbi,Accessibility,0,0,0,0,0,0,0,1,2,1,0,0,4
hbglapgegjickodindimfgfmjmhhdlii,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,1
cekmffgohjjjmiodmaggjnlfmcaamdea,Accessibility,0,0,0,0,0,0,0,2,1,1,0,0,2
kgoaldgnannoebilojgnheicbkfbebjg,Accessibility,2,0,0,3,0,0,0,6,7,8,0,0,10
dnjondkgnpfdhpmlecgnodiiedjemada,Accessibility,0,0,0,0,0,0,0,4,5,1,0,0,7
bidggighgeapfnoagdpjjniolldibdfa,Accessibility,0,0,0,1,1,0,0,8,7,4,0,0,9
dlonjjgpeedbkjdipiiboelenjdjjbak,Accessibility,2,0,0,2,1,0,0,5,5,4,1,1,9
kceciaijnoaceceljkggfocngjleimem,Accessibility,2,0,1,1,1,0,0,6,6,3,1,0,7
ogjdcbnhgjgabidifpnpiidgbkhlpnof,Accessibility,0,0,0,0,0,0,0,10,8,4,0,0,10
bhoocemedffiopognacolpjbnpncdegk,Accessibility,2,0,0,1,2,0,1,4,3,1,0,0,5
efmbllenocpgfaedkjnlnbacalkajolk,Accessibility,4,0,0,4,0,0,1,6,7,7,2,0,8
elmmkiodkkgebgncmfbfdcffledgfanc,Accessibility,0,0,0,0,0,0,1,6,8,5,1,0,9
idphhflanmeibmjgaciaadkmjebljhcc,Accessibility,1,0,0,3,0,0,0,5,6,8,2,0,10
kpccobiljcljgnldjleifiblpdicjmmd,Accessibility,1,0,0,2,1,0,0,8,7,4,0,0,11
kfgepjmmgamniaefbjlbacahkjjnjoaa,Accessibility,2,0,0,2,0,0,0,2,1,3,1,0,5
fkjngjgmgbfelejhbjblhjkehchifpcj,Accessibility,1,0,0,1,0,0,0,7,7,5,0,0,11
alffilfphjmefdfpohmeghkagkhnknpj,Accessibility,1,0,0,1,1,0,0,9,9,9,0,0,13
knaodoefkjbgmmilogebghadhmnphjih,Accessibility,0,0,0,0,0,0,0,4,4,6,0,0,7
clmmkkhkojnniehpiedngmcfepioaica,Accessibility,1,0,0,1,0,0,0,13,13,8,1,0,13
dfdonoicdcghnjdleacdfjkgpbdmmjnn,Accessibility,1,0,0,1,0,0,0,1,2,0,0,0,4
ccdlbpiakpmcmchggegamofhgpbogfmb,Accessibility,0,0,0,0,0,0,0,1,2,2,0,0,3
pjaokapeoilnedhdnnaonedhbdajonll,Accessibility,4,0,0,5,3,0,0,10,9,9,6,0,14
bahepfoheafkldfpckcbpdgdamopmcic,Accessibility,1,0,0,1,0,0,0,8,6,6,0,0,10
egkaagndoijoeojpecjepkepacaeblgf,Accessibility,0,0,0,0,0,0,0,10,5,9,0,0,14
mmbiohbmijkiimgcgijfomelgpmdiigb,Accessibility,1,0,0,2,0,0,1,7,3,7,0,0,13
pbbcgecjmpkglppfjjggkkbhdnlemhkg,Accessibility,1,0,0,1,1,0,1,8,7,6,0,0,9
