ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
cocaimehnkadckcgnahaafeggfnihnkj,0,0,0,0,0,0,0,12,10,0,0,0
bccklicoajgbloikagllejkefpndedoj,0,0,0,0,0,0,0,1,5,0,0,0
aieehkpcgamkdlmlckembcgplojdhana,0,0,0,0,0,0,0,218,6,0,0,0
cecegigghbmhmapdgolkgpdclnjgdjlj,0,0,0,0,0,0,0,0,0,1,0,0
ccodppdikeappapgcfaikfnnljpgkgcm,0,0,0,0,0,0,1,4,0,1,0,0
adfjiefafchibegfbafbdmjodppbfnja,0,0,0,0,0,0,0,0,0,1,0,0
aiccdpabeagpjcebilebhlifplfkinao,0,0,0,0,0,0,0,0,2,1,0,0
adpfmdalelagcgphclphbdobheopicpi,0,0,0,0,0,0,0,0,0,1,0,0
chbphidecmndldfgbknkbkekbhojicem,0,0,0,0,0,0,0,17,10,0,0,0
abkbacbclmclkakodfcfkneoabaedjnf,0,0,0,0,0,0,0,17,5,1,0,0
bicdefpoleoohkhgcbbhambpghigfeid,1,0,0,1,0,0,0,15,12,2,0,0
ccfdecbehnkhllcbcagfbiogofnfhbbc,0,0,0,0,0,0,0,38,10,1,0,0
cgpenmfbpgallipmkeojcfpibjkpnmhc,0,0,0,0,0,0,0,1,0,0,0,0
amaocohfggngedglokjmfmdmdbdjgfja,0,0,0,0,0,0,0,3,1,1,0,0
bebafbkcfhfabnkliaahlebpifphlocj,0,0,0,0,0,0,0,4,0,0,0,0
ambbkmfmmaacpmkgmdoigkcpnjhbaebc,0,0,0,0,0,0,0,0,0,1,0,0
bbjabfjlgajemfdkmmgjmjmhfaaicfph,0,0,0,0,0,0,0,4,15,0,0,0
cgfplfaocdgbahjoegkenibjdgjaakhd,0,0,0,0,0,0,0,1,1,0,0,0
bmhhcbkecilnepbngphbacekcfmfkifb,0,0,0,0,0,0,0,0,0,1,0,0
agjbiabnldaloahjnffncohmcckbmeke,17,0,0,13,0,0,0,0,0,1,0,0
aempbmfkcpbaddanjcbobkeembegjdlm,1,0,0,1,1,0,0,0,0,1,0,0
boamaglckdmhpoplmglfobiihfkgmpke,0,0,0,0,0,0,0,0,0,1,0,0
cdmkflgfjmjpnldnlbojcabjkdelefij,0,0,0,0,0,0,0,2,4,1,0,0
bbecpgeandbpgcjoffajiecicfcfocda,0,0,0,0,0,0,0,4,1,0,0,0
ciobebpepfbnfcaclgikgklgfignenmm,0,0,0,0,0,0,0,0,0,0,0,0
cheojggbfdmnebgbgifgognmjgmbcchg,0,0,0,0,0,0,0,0,0,0,0,0
codnemgfecjejpapoegjkpdjdgbognaa,0,0,0,0,0,0,0,15,1,0,0,0
anlcdfhkkcnkmfibalgkfmfbaidahnbc,0,0,0,1,0,0,0,0,0,1,0,0
aicjeabfmeimafanjnledfddcjmmgnid,0,0,0,0,0,0,0,1,2,1,0,0
blhlbkgekpgmehmokhmgfppfknildapn,0,0,0,0,0,0,0,24,8,3,0,0
bgfmobijngodlaobielkljbikkjobgdc,0,0,0,0,0,0,0,0,0,0,0,0
bedipelpnfkhdmmnfdajiehjbbgeepbp,0,0,0,0,0,0,0,0,0,0,0,0
aomhfkfbjbehmnkgkddfndjliojddipf,0,0,0,0,0,0,0,8,14,1,0,0
ckolcbmkjpjmangdbmnkpjigpkddpogn,0,0,0,0,0,0,0,5,9,0,0,0
bbejljcbaibhhacdpndojhkhckgdooff,32,0,0,27,0,0,0,0,0,0,0,0
bjdfpdlbeklikgponpiohccngpibjfeb,0,0,0,0,0,0,3,2,1,1,0,0
cabeibohbngnbnbkjnghdlicipbpkeib,0,0,0,0,0,0,0,3,15,1,0,0
boklbbjieahngbnhdmlhldjjibdnnbcn,1,0,0,0,0,0,0,1,1,1,0,0
aefldcgijadoobldbnnkecphkimgonoo,0,0,0,0,0,0,0,2,4,1,0,0
cmnpkgmfekalchlmekjnkpaamapaooji,0,0,0,0,0,0,0,0,1,0,0,0
cagjfckmkgnlchgfjbbldmhdehidjfmh,0,0,0,0,0,0,0,0,2,1,0,0
cjekpooehbkibbkgdbfmcnmhgegklnmj,0,0,0,0,0,0,0,24,14,0,0,0
abcdgcpgilmpdcpcfgnbbdebnkcchelc,0,0,0,0,0,0,0,4,2,1,0,0
adhfhfpebeloakommdgicanmhfbeifnb,1,0,0,1,0,0,0,19,8,1,0,0
bloeeofeheeiddblmojljbhadkdoafmo,0,0,0,0,0,0,0,3,0,1,0,0
amleaihlkllljghbibpchilboidikdka,0,0,0,0,0,0,0,2,0,1,0,0
cppjkneekbjaeellbfkmgnhonkkjfpdn,0,0,0,0,0,0,1,3,4,0,0,0
alegaiiaoabaogcgpiaihgdkodlbimnj,0,0,0,0,0,0,0,0,0,0,0,0
bijmnmmogdkbljbabmjaakneldgndljp,0,0,0,0,0,0,0,0,0,1,0,0
aholpfdialjgjfhomihkjbmgjidlcdno,0,0,0,0,0,0,0,5,1,1,0,0
ajahhkeplcpeomhbkijdfflaaemadfpj,0,0,0,0,0,0,0,1,5,1,0,0
alipjbeolhembeklphfcehbkgncdlnom,0,0,0,0,0,0,0,0,0,1,0,0
ajmdenlegammicheepkaklbgebleifaa,11,0,0,7,1,0,0,0,0,1,0,0
bcpfeblicpgbcbccfpdifjpncoenlbik,0,0,0,0,0,0,0,0,1,0,0,0
cjcjcdgkcablfjfbbnicgclgfkmjelpn,0,0,0,0,0,0,0,0,0,0,0,0
aaaiojgeeahkmpmhgbpehjockggghnle,1,0,0,1,1,0,0,9,12,1,0,0
abpidkpcnhcdhahombmgajglihkdgoeh,1,0,0,1,0,0,0,20,9,1,0,0
akjejjpinngeemgaddjbhbiddpoppnem,17,0,0,16,1,0,0,12,13,1,0,0
bnmlihhhebgoiihoaicfmahhcheecoaa,0,0,0,0,0,0,1,11,4,1,2,0
aiepfkanoffcoebholplgmjncpdbijdn,0,0,0,0,0,0,0,0,0,1,0,0
agpnjngphbdlfoeoglcamjgabcocpobi,0,0,0,0,0,0,0,9,1,1,0,0
bchbbbpmoennlbaccniopjhaedlojdeh,0,0,0,0,0,0,0,14,8,0,0,0
adcjjccicbegjnhcicnnjlfcmfigcdal,2,0,0,0,3,0,0,2,2,1,0,0
bddcpiliijpigkmbjkfbgmfejcflppgc,0,0,0,0,0,0,5,10,4,0,2,0
ajiadbkfhmfpchhimkfegnfidhnhlfde,0,0,0,0,0,0,0,4,2,1,0,0
amfempcmjjaaoppnkbfokameamdppjdm,0,0,0,1,0,0,0,33,1,1,0,0
bebafkkenckgflalgfibfbcnilpdomdi,0,0,0,0,0,0,1,0,0,0,0,0
aollofiafbblhopkofbfmlmbhbdcblem,1,0,0,1,0,0,0,25,61,2,2,0
cffnijbaiiahkoanhghbiomlefdmpoco,0,0,0,0,0,0,0,3,0,1,0,0
cdopjfddjlonogibjahpnmjpoangjfff,1,0,0,1,0,0,0,20,17,1,3,0
aidompfihhjpgdgcklcdiobfifabnapl,9,0,0,11,0,0,0,1,5,1,0,0
cfilkjdlgdiclmdfdggjommndffiibbe,0,0,0,0,0,0,0,3,0,0,0,0
acijiokfkpnmbbbnhgikljmefiefepfn,0,0,0,0,0,0,0,2,3,2,0,0
aghpiipfpgdiadkibmddeinngbboajbl,0,0,0,0,0,0,0,0,0,1,0,0
