ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
nendakennfmpoplpmpgnmcbpfabkibki,0,0,0,0,1,0,0,0,0,0,0,0
fcmlfpdjcmgjednecdogonbnpiloobkk,0,0,0,1,0,1,1,1,1,1,0,1
fngmhnnpilhplaeedifhccceomclgfbg,-1,0,0,-1,-1,0,1,0,0,0,1,1
lgknekjbaalocflnicbbncodboegpdhc,0,0,0,1,0,1,1,0,0,1,0,1
mhfnbdpkbjjidncjoapecfbedblplacn,0,0,0,0,1,1,1,0,0,0,0,1
gpkdlgnngkiiphplplodblijekhnjjob,0,0,0,1,0,1,1,1,0,1,0,1
neneipdmalejnpalhnmmkcbipgojmoop,1,0,1,0,0,0,0,0,0,0,0,0
giaoehhefkmchjbbdnahgeppblbdejmj,0,0,0,1,0,1,1,0,1,1,1,1
boobfniiepghnbeplehgjjmjnfehmnba,0,0,0,1,0,1,1,0,0,0,-1,1
olfiakiemgabphalhjfjbcmganhfkbcg,-1,0,0,0,0,1,1,0,0,0,0,1
kjkidapfdhbcllgoaoobklapepffmcca,0,0,0,1,1,1,1,0,0,0,0,1
igcolgcncjbfdpoeoinhfakoefmfljbd,0,0,0,0,0,0,-1,0,0,0,1,1
naffoicfphgmlgikpcmghdooejkboifd,-1,0,0,1,0,1,1,0,0,0,0,1
lkdbkiggalhffmapafobkmjadhhlopig,-1,0,0,0,0,1,1,0,0,0,1,1
enhjjhkhjenjnanplmdkahkbkoeeljjp,0,0,0,1,0,1,1,0,0,0,0,1
gnanlfpgbbiojiiljkemdcampafecbmk,0,0,0,1,1,0,0,0,0,0,1,1
lmbjphlignlahnmfdginogdhpfelionc,0,0,0,1,0,1,1,1,0,1,0,1
ahmapmilbkfamljbpgphfndeemhnajme,-1,0,0,-1,1,0,0,0,0,-1,0,1
ehhgakejngggahdpeeoldcjgnpemiajj,0,0,0,0,1,0,0,1,1,0,1,1
aefkmifgmaafnojlojpnekbpbmjiiogg,0,0,0,1,0,1,1,0,0,0,1,1
ohahllgiabjaoigichmmfljhkcfikeof,-1,0,0,0,-1,1,1,0,0,0,0,1
hokcepcfcicnhalinladgknhaljndhpc,-1,0,0,-1,0,0,1,0,0,0,1,1
jjmflmamggggndanpgfnpelongoepncg,-1,1,0,1,0,1,1,0,0,0,-1,1
ihmpdhjiegmmdlijhdblcinbknjcgbmd,0,0,0,1,1,1,1,0,0,0,1,1
nkabooldphfdjcbhcodblkfmigmpchhi,0,0,0,1,1,0,0,0,0,-1,1,1
kkdlonfmcagihmgbjabilkobebieopia,0,0,0,0,0,0,-1,0,0,-1,1,1
eibcbmdmfcgklpkghpkojpaedhloemhi,0,0,0,1,0,1,1,0,0,1,0,1
fbbjijdngocdplimineplmdllhjkaece,0,0,0,1,1,1,1,0,1,1,0,1
ajhidbbpmnhjjffefekncbdbeopghnnn,0,0,0,1,0,1,1,0,0,0,0,1
fdnipcdebaagjpicpbkildmcefflobhn,0,0,0,1,1,1,1,0,0,1,0,1
iafhjdlaghjpnpgddlhoiokipfpchnkc,0,0,0,1,0,1,1,1,0,0,0,1
lbnjbdmhigeeajekonpjlifkbianmoke,1,0,1,0,0,0,0,0,0,-1,0,0
dkahhckcjhglekflgjmmmmmkpffnhnka,0,0,0,1,0,1,1,0,0,1,0,1
eaaiamkifkifdmkebmffejohhbgnhjpp,-1,0,0,0,1,1,1,0,0,0,0,1
eekfhcmpmchbhkdeplplcljcggddkffb,0,0,0,1,1,0,0,1,1,0,1,1
jblbdklppkompnbobkpncbmbjkaeaeah,0,0,0,1,0,1,1,0,0,1,1,1
ilhbijdjjemabngimffljbbfhbdglllj,-1,0,0,0,1,0,0,0,0,-1,1,1
bebdhgdigjiiamnkcenegafmfjoghafk,0,0,0,1,0,1,1,0,0,1,-1,1
mkbedenfmmfijapiicfomejpbcchogjf,-1,0,0,1,0,1,1,0,0,1,-1,1
opjfennpifbhgfpaihhahgelpcdapfdp,-1,0,0,-1,1,1,0,0,0,-1,0,0
pcedhgghoalplpjcnmngmeajomcpbjif,-1,0,0,0,1,0,0,0,1,-1,0,0
pabkjoplheapcclldpknfpcepheldbga,0,0,0,1,1,1,1,0,0,1,1,1
ipecbiogongigeffafhngmgohpldedmc,1,0,1,0,0,0,0,0,0,-1,0,1
phjbepamfhjgjdgmbhmfflhnlohldchb,0,0,0,0,0,0,0,0,0,0,1,1
pbdimmlcjcjpeobiomhjfaflppglnbgc,0,0,0,0,0,0,-1,0,0,0,1,1
gcmodjdigfgdkpelopekhcicmielbkbi,0,0,0,1,0,1,1,0,0,0,0,1
nmcamjpjiefpjagnjmkedchjkmedadhc,0,0,0,1,-1,1,1,0,1,1,0,1
mhohnenkbgmndjgdccjmelopdaceibfk,0,0,0,1,1,1,1,0,0,0,1,1
kdnnmhpmcakdilnofmllgcigkibjonof,1,1,0,0,1,1,1,0,0,0,1,1
cpknagcmpelnmgoclahmkmnlokbibhga,0,0,0,1,0,1,1,0,0,1,-1,1
nmiilckmkpdokjkfhbjpohdmijaohbhh,0,0,0,1,1,0,0,0,0,0,1,1
fclgdddlfjpkchefafhcbpakmahjokho,0,0,0,1,0,1,1,0,0,1,0,1
ckogelgphhciinnbhkebdclmcoidbekg,0,0,0,1,0,1,1,1,0,1,0,1
ladmdjdnjfflielmgnmcnljncjpnlklk,0,0,0,1,0,0,0,0,0,-1,0,1
mbgcohmdaihkelcokapfdmenehoafplh,0,0,0,1,1,1,1,0,0,0,0,1
cpmfchlofecflfioofchboebmocaelip,0,0,0,1,0,1,1,0,0,1,0,1
bbcmnbnmngpeofmpcdlcfalbniefegbp,0,0,0,1,1,1,1,0,0,1,0,1
odkknhgkfelggeokapnkkcfjppefmkil,-1,0,0,0,1,1,1,0,1,1,0,1
hefagnpnacabcobofkfodcoiilmjbpkh,0,0,0,1,0,1,1,0,0,0,0,1
kmmpkhpajpecmpdmmbpjmkmcmfdahkcj,1,1,1,0,1,0,0,0,0,-1,1,0
kdlfahlknghgnefpcacaddeckegccpbc,0,0,0,0,1,0,0,1,1,0,0,0
bgbaahbnakeoohgbijglamgadoanojbf,0,0,0,1,0,1,1,1,1,1,0,1
