ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
afkglhifebfaabejgnpdkeljeohdgdej,0,0,0,0,0,0,0,0,0,0,0,0
agjbiabnldaloahjnffncohmcckbmeke,16,0,0,12,0,0,0,0,0,0,0,0
cajklhanpcgcpkikgpcnogpdndpjdjjn,0,0,0,0,0,0,0,0,0,0,0,0
bdlmjfkblpjnkienagkgljcodcgjjjml,0,0,0,0,0,0,0,0,0,0,0,0
cffhgkhnipcfjokkffpplbghcpllokip,0,0,0,0,0,0,0,0,0,0,0,0
afbphoagjpegnkpeiliacmiiggojdabo,0,0,0,0,0,0,0,0,0,0,0,0
bllfmidjjfmafmfoiobkkcjkcddccngp,0,0,0,0,0,0,0,0,0,0,0,0
cdggacgonehkioknlolpdmdnbaollpca,0,0,0,0,0,0,0,0,0,0,0,0
aomnoofmdnaccffobkddehcmdihggcke,0,0,0,0,0,0,0,0,0,0,0,0
ammeaejgjdeifjekkofhnliedhccbmgp,0,0,0,0,0,0,0,0,0,0,0,0
cdhliilgdklblnbcgpdemndkojdeehpl,0,0,0,0,0,0,0,0,0,0,0,0
caedmimeiecplmfpiaoboinalimdniea,0,0,0,0,0,0,0,0,0,0,0,0
ajoeonnfejlknojbinailjkdcnjkagmo,0,0,0,0,0,0,0,0,0,0,0,0
baolpfghpeologigbelepmgpbcihgegk,0,0,0,0,0,0,0,0,0,0,0,0
bhdnlmmgiplmbcdmkkdfplenecpegfno,0,0,0,0,2,0,0,0,0,0,0,0
biidcndldbclkhkooijiglmhjocpjcnd,0,0,0,0,0,0,0,0,0,0,0,0
afankndojeemjbdjhehnpahcobjdhnhi,0,0,0,0,0,0,0,0,0,0,0,0
boaadndcimmpdcjejkaipofcnmepdagj,0,0,0,0,0,0,0,0,0,0,0,0
beifniogjbogfikkdkblpemliilcjnhf,0,0,0,0,0,0,0,0,0,0,0,0
ajnlnlhcogajdhgjnnolclpcdoamfmlo,0,0,0,0,0,0,0,0,0,0,0,0
aaoclindamfdofdgnoclfccmedlmanko,0,0,0,0,0,0,0,0,0,0,0,0
afjiebpjglmjfhhhhmobdnadflocmold,0,0,0,0,0,0,0,0,0,0,0,0
