ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
bgngjfgpahnnncnimlhjgjhdajmaeeoa,0,0,0,0,0,0,0,0,0,1,0,0
bgniimmgelhhbmnfoklafdfhdogadlhm,0,0,0,0,0,0,0,0,0,1,0,0
bgnjbpciejojifhejoagmfjeagdghgan,1,0,0,1,0,0,0,0,0,1,0,0
bgnjlngpmhbglnbnopggjbbgoplfnljn,0,0,0,0,0,0,0,0,0,1,0,0
bgnkhhnnamicmpeenaelnjfhikgbkllg,0,0,0,0,0,0,0,0,0,1,0,0
bgnkikabhbcgkcookfaffbneioendomg,0,0,0,0,0,0,0,0,0,1,0,0
bgobomogpkhkeemheebpbnjonelnijbb,0,0,0,0,0,0,0,0,0,1,0,0
bgodnllpdeddpomlldfogbjlmmbhcpmi,1,1,0,1,1,0,0,0,0,1,0,0
bgofkkdheiicamgmlpfcdlfclkjmdelb,0,0,0,0,0,0,0,0,0,1,0,0
bgohdobpmnajfkhonaimnelpglcplhei,0,0,0,0,0,0,0,0,0,1,0,0
bgoiennlbkgepofbpmfhijjaiimipckd,0,0,0,0,0,0,0,0,0,1,0,0
bgoiffehmhngmehlbmcepkfikalopkgo,1,0,0,1,0,0,0,0,0,1,0,0
bgojhcakpieoggjdgppcmngglebodefi,0,0,0,0,0,0,0,0,0,1,0,0
bgojhcbkjlloemicdchpifpnbcjiijmd,0,0,0,0,0,0,0,0,0,1,0,0
bgojjinelaofjnhdicamhchpoechmfmk,0,0,0,0,0,0,0,0,0,1,0,0
bgokogmoakdnfdnghmgihiekdjllddjo,0,0,0,0,0,0,0,0,0,1,0,0
bgokogojhamakpbfnhbindkipkmnpchd,0,0,0,0,0,0,0,0,0,1,0,0
bgomfgoppmhcminmdojjeejheppadagh,0,0,0,0,0,0,0,0,0,1,0,0
bgonpegbhnjepleakgjdbaepkfedhhnf,0,0,0,0,0,0,0,0,0,1,0,0
bgooeeejgpimkcmghgbighpidmopandh,0,0,0,0,0,0,0,0,0,1,0,0
